CMDLINE /home/victorvikram/anaconda3/envs/speech/bin/python3.9 get_triplets.py
MEM 20119.652344 1683229430.0891
MEM 20151.246094 1683229430.1894
MEM 20151.246094 1683229430.2897
MEM 20151.246094 1683229430.3900
MEM 20151.246094 1683229430.4903
MEM 20151.246094 1683229430.5906
MEM 20151.246094 1683229430.6910
MEM 20151.246094 1683229430.7913
MEM 20151.246094 1683229430.8916
MEM 20151.246094 1683229430.9920
MEM 20151.246094 1683229431.0923
MEM 20151.246094 1683229431.1926
MEM 20151.246094 1683229431.2929
MEM 20151.246094 1683229431.3932
MEM 20151.246094 1683229431.4935
MEM 20151.246094 1683229431.5938
MEM 20151.246094 1683229431.6941
MEM 20151.246094 1683229431.7944
MEM 20151.246094 1683229431.8947
MEM 20151.246094 1683229431.9951
MEM 20151.246094 1683229432.0954
MEM 20151.246094 1683229432.1957
MEM 20151.246094 1683229432.2960
MEM 20151.246094 1683229432.3963
MEM 20151.246094 1683229432.4966
MEM 20151.246094 1683229432.5969
MEM 20151.246094 1683229432.6972
MEM 20151.246094 1683229432.7975
MEM 20151.246094 1683229432.8978
MEM 20151.246094 1683229432.9981
MEM 20151.246094 1683229433.0985
MEM 20151.246094 1683229433.1988
MEM 20151.246094 1683229433.2991
MEM 20151.246094 1683229433.3994
MEM 20151.246094 1683229433.4997
MEM 20151.246094 1683229433.6000
MEM 20151.246094 1683229433.7003
MEM 20151.246094 1683229433.8007
MEM 20151.246094 1683229433.9010
MEM 20151.246094 1683229434.0013
MEM 20151.246094 1683229434.1016
MEM 20151.246094 1683229434.2019
MEM 20151.246094 1683229434.3022
MEM 20151.246094 1683229434.4025
MEM 20151.246094 1683229434.5028
MEM 20151.246094 1683229434.6032
MEM 20151.246094 1683229434.7035
MEM 20151.246094 1683229434.8038
MEM 20151.246094 1683229434.9041
MEM 20151.246094 1683229435.0044
MEM 20151.246094 1683229435.1047
MEM 20151.246094 1683229435.2050
MEM 20151.246094 1683229435.3053
MEM 20151.246094 1683229435.4056
MEM 20151.246094 1683229435.5059
MEM 20151.246094 1683229435.6062
MEM 20151.246094 1683229435.7065
MEM 20151.246094 1683229435.8068
MEM 20151.246094 1683229435.9071
MEM 20151.246094 1683229436.0075
MEM 20151.246094 1683229436.1078
MEM 20151.246094 1683229436.2081
MEM 20151.246094 1683229436.3084
MEM 20151.246094 1683229436.4087
MEM 20151.246094 1683229436.5090
MEM 20151.246094 1683229436.6093
MEM 20151.246094 1683229436.7096
MEM 20203.402344 1683229436.8099
MEM 20290.539062 1683229436.9102
MEM 20379.226562 1683229437.0105
MEM 20465.078125 1683229437.1109
MEM 20552.218750 1683229437.2112
MEM 20639.964844 1683229437.3115
MEM 20727.878906 1683229437.4118
MEM 20815.277344 1683229437.5121
MEM 20902.593750 1683229437.6124
MEM 20990.503906 1683229437.7127
MEM 21077.898438 1683229437.8130
MEM 21235.542969 1683229437.9133
MEM 21710.691406 1683229438.0136
MEM 22186.097656 1683229438.1139
MEM 22643.199219 1683229438.2142
MEM 23117.832031 1683229438.3146
MEM 23267.113281 1683229438.4149
MEM 23354.617188 1683229438.5152
MEM 23442.925781 1683229438.6155
MEM 23529.917969 1683229438.7158
MEM 23617.964844 1683229438.8161
MEM 23705.492188 1683229438.9164
MEM 23788.105469 1683229439.0167
MEM 23875.136719 1683229439.1170
MEM 23961.164062 1683229439.2173
MEM 24058.332031 1683229439.3176
MEM 24142.882812 1683229439.4179
MEM 24229.027344 1683229439.5183
MEM 24324.066406 1683229439.6186
MEM 24405.281250 1683229439.7189
MEM 24501.429688 1683229439.8192
MEM 24583.769531 1683229439.9196
MEM 24679.527344 1683229440.0199
MEM 24762.511719 1683229440.1202
MEM 24858.964844 1683229440.2205
MEM 24941.351562 1683229440.3208
MEM 25037.136719 1683229440.4211
MEM 25116.582031 1683229440.5214
MEM 25212.285156 1683229440.6217
MEM 25301.140625 1683229440.7220
MEM 25390.519531 1683229440.8223
MEM 25480.582031 1683229440.9227
MEM 25567.585938 1683229441.0230
MEM 25660.222656 1683229441.1233
MEM 25745.402344 1683229441.2236
MEM 25837.722656 1683229441.3239
MEM 25920.460938 1683229441.4242
MEM 26015.886719 1683229441.5245
MEM 26098.773438 1683229441.6248
MEM 26193.964844 1683229441.7251
MEM 26276.589844 1683229441.8254
MEM 26372.941406 1683229441.9257
MEM 26451.945312 1683229442.0261
MEM 26547.480469 1683229442.1264
MEM 26629.382812 1683229442.2267
MEM 26724.105469 1683229442.3270
MEM 26805.886719 1683229442.4273
MEM 26901.734375 1683229442.5276
MEM 26989.097656 1683229442.6279
MEM 27078.816406 1683229442.7283
MEM 27170.632812 1683229442.8286
MEM 27253.324219 1683229442.9289
MEM 27349.191406 1683229443.0293
MEM 27431.179688 1683229443.1296
MEM 27526.941406 1683229443.2299
MEM 27609.144531 1683229443.3302
MEM 27704.433594 1683229443.4305
MEM 27784.882812 1683229443.5308
MEM 27877.175781 1683229443.6311
MEM 27971.359375 1683229443.7314
MEM 28054.066406 1683229443.8317
MEM 28148.550781 1683229443.9320
MEM 28229.800781 1683229444.0323
MEM 28325.437500 1683229444.1326
MEM 28415.910156 1683229444.2329
MEM 28499.632812 1683229444.3332
MEM 28594.378906 1683229444.4336
MEM 28676.242188 1683229444.5339
MEM 28771.398438 1683229444.6342
MEM 28859.265625 1683229444.7345
MEM 28947.453125 1683229444.8348
MEM 29042.019531 1683229444.9351
MEM 29136.234375 1683229445.0354
MEM 29143.796875 1683229445.1357
MEM 29143.796875 1683229445.2360
MEM 29143.796875 1683229445.3363
MEM 29143.796875 1683229445.4366
MEM 29143.796875 1683229445.5369
MEM 29143.796875 1683229445.6372
MEM 29143.796875 1683229445.7375
MEM 29143.796875 1683229445.8379
MEM 29143.796875 1683229445.9382
MEM 29143.796875 1683229446.0385
MEM 29143.796875 1683229446.1388
MEM 29143.796875 1683229446.2391
MEM 29143.796875 1683229446.3395
MEM 29143.796875 1683229446.4398
MEM 29143.796875 1683229446.5401
MEM 29143.796875 1683229446.6404
MEM 29143.796875 1683229446.7407
MEM 29143.796875 1683229446.8410
MEM 29143.796875 1683229446.9413
MEM 29143.796875 1683229447.0416
MEM 29143.796875 1683229447.1419
MEM 29143.796875 1683229447.2422
MEM 29143.796875 1683229447.3426
MEM 29143.796875 1683229447.4429
MEM 29143.796875 1683229447.5432
MEM 29143.796875 1683229447.6435
MEM 29143.796875 1683229447.7438
MEM 29143.796875 1683229447.8441
MEM 29143.796875 1683229447.9444
MEM 29143.796875 1683229448.0447
MEM 29143.796875 1683229448.1450
MEM 29143.796875 1683229448.2453
MEM 29143.796875 1683229448.3456
MEM 29143.796875 1683229448.4459
MEM 29143.796875 1683229448.5462
MEM 29143.796875 1683229448.6466
MEM 29143.796875 1683229448.7469
MEM 29143.796875 1683229448.8472
MEM 29143.796875 1683229448.9476
MEM 29143.796875 1683229449.0479
MEM 29143.796875 1683229449.1482
MEM 29143.796875 1683229449.2485
MEM 29143.796875 1683229449.3488
MEM 29143.796875 1683229449.4491
MEM 29143.796875 1683229449.5494
MEM 29143.796875 1683229449.6497
MEM 29143.796875 1683229449.7500
MEM 29143.796875 1683229449.8503
MEM 29143.796875 1683229449.9506
MEM 29143.796875 1683229450.0509
MEM 29143.796875 1683229450.1512
MEM 29143.796875 1683229450.2515
MEM 29143.796875 1683229450.3519
MEM 29143.796875 1683229450.4522
MEM 29143.796875 1683229450.5525
MEM 29143.796875 1683229450.6528
MEM 29143.796875 1683229450.7531
MEM 29143.796875 1683229450.8534
MEM 29143.796875 1683229450.9537
MEM 29143.796875 1683229451.0540
MEM 29143.796875 1683229451.1543
MEM 29143.796875 1683229451.2546
MEM 29143.796875 1683229451.3549
MEM 29143.796875 1683229451.4553
MEM 29143.796875 1683229451.5556
MEM 29143.796875 1683229451.6559
MEM 29143.796875 1683229451.7562
MEM 29143.796875 1683229451.8565
MEM 29143.796875 1683229451.9568
MEM 29143.796875 1683229452.0571
MEM 29143.796875 1683229452.1574
MEM 29143.796875 1683229452.2577
MEM 29143.796875 1683229452.3580
MEM 29143.796875 1683229452.4584
MEM 29143.796875 1683229452.5587
MEM 29143.796875 1683229452.6590
MEM 29143.796875 1683229452.7593
MEM 29143.796875 1683229452.8596
MEM 29143.796875 1683229452.9599
MEM 29143.796875 1683229453.0602
MEM 29143.796875 1683229453.1605
MEM 29143.796875 1683229453.2608
MEM 29143.796875 1683229453.3611
MEM 29143.796875 1683229453.4615
MEM 29143.796875 1683229453.5618
MEM 29143.796875 1683229453.6621
MEM 29143.796875 1683229453.7624
MEM 29213.195312 1683229453.8627
MEM 29308.585938 1683229453.9630
MEM 29402.945312 1683229454.0633
MEM 29490.597656 1683229454.1636
MEM 29579.285156 1683229454.2639
MEM 29669.253906 1683229454.3642
MEM 29756.394531 1683229454.4645
MEM 29852.042969 1683229454.5648
MEM 29933.769531 1683229454.6651
MEM 30028.902344 1683229454.7655
MEM 30110.886719 1683229454.8658
MEM 30205.246094 1683229454.9661
MEM 30300.117188 1683229455.0664
MEM 30379.523438 1683229455.1667
MEM 30472.335938 1683229455.2671
MEM 30565.921875 1683229455.3674
MEM 30646.617188 1683229455.4677
MEM 30740.718750 1683229455.5680
MEM 30835.078125 1683229455.6683
MEM 30914.742188 1683229455.7686
MEM 31009.875000 1683229455.8689
MEM 31101.656250 1683229455.9692
MEM 31185.187500 1683229456.0695
MEM 31276.453125 1683229456.1698
MEM 31370.554688 1683229456.2701
MEM 31459.500000 1683229456.3704
MEM 31544.320312 1683229456.4707
MEM 31639.195312 1683229456.5711
MEM 31728.914062 1683229456.6714
MEM 31812.187500 1683229456.7717
MEM 31907.320312 1683229456.8720
MEM 31992.914062 1683229456.9723
MEM 32083.148438 1683229457.0726
MEM 32176.734375 1683229457.1729
MEM 32258.718750 1683229457.2732
MEM 32351.554688 1683229457.3735
MEM 32446.687500 1683229457.4738
MEM 32525.062500 1683229457.5742
MEM 32619.679688 1683229457.6745
MEM 32714.328125 1683229457.7748
MEM 32795.281250 1683229457.8751
MEM 32890.414062 1683229457.9754
MEM 32985.031250 1683229458.0758
MEM 33064.031250 1683229458.1761
